date,symbol,position_type,entry_price,quantity,cost,close_price,market_value,position_status,exit_date,open_profit,profit_percentage,net_value,invested
11/4/2016,TEVA,Short,$55.91,200,"$11,182",$54.96,"$10,992",Closed,4/15/2016,$190.00,0.01699159363,"$25,205.00",0
11/4/2016,FB,Short,$108.99,100,"$10,899",$108.99,"$10,899",Closed,12/4/2016,$0.00,0,"$25,015.00",0
4/15/2016,AMZN,Long,$623.04,100,"$62,304",$630.19,"$63,019",Closed,4/18/2016,$715.00,0.0114759887,"$25,015.00",0
4/18/2016,AAPL,Short,$108.88,"4,000","$435,520",$107.58,"$430,320",Closed,4/18/2016,"$5,200.00",0.01193975018,"$24,300.00",0
4/18/2016,AAPL,Short,$107.44,"10,000","$1,074,400",$105.53,"$1,055,300",Closed,4/22/2016,"$19,100.00",0.01777736411,"$19,100.00",0
4/18/2016,AMGN,Long,$161.49,"2,000","$322,980",$163.17,"$326,340",Closed,4/20/2016,"$3,360.00",0.01040312094,"$22,460.00",0
4/20/2016,NFLX,Short,$95.53,"10,000","$955,300",$96.76,"$967,600",Closed,4/20/2016,"-$12,300.00",-0.01287553648,"$10,160.00",0
4/20/2016,BABA,LONG,$80.89,"1,000","$80,890",$79.42,"$79,420",Closed,4/22/2016,"-$1,470.00",-0.0181728273,"$8,690.00",0
4/19/2016,IBM,Short,$145.54,"3,000","$436,620",$149.68,"$449,040",Closed,4/21/2016,"-$12,420.00",-0.0284457881,"-$3,730.00",0
4/20/2016,KO,Short,$44.69,"2,000","$89,380",$44.44,"$88,880",Closed,4/22/2016,$500.00,0.005594092638,"-$3,230.00",0
4/20/2016,NFLX,LONG,$96.72,"5,000","$483,580",$95.39,"$476,950",Closed,4/21/2016,"-$6,630.00",-0.01371024443,"-$9,860.00",0
4/20/2016,PLG,LONG,$3.77,"1,000","$3,770",$3.24,"$3,240",Closed,4/21/2016,-$530.00,-0.1405835544,"-$10,390.00",0
4/20/2016,XEC,LONG,$109.87,"6,000","$659,240",$107.96,"$647,760",Closed,4/21/2016,"-$11,479.98",-0.01741396153,"-$21,869.98",0